year,max
1973,810
1974,1560
1975,1130
1976,1260
1977,691
1978,830
1979,762
1980,1050
1981,1260
1982,1280
1983,917
1984,711
1985,1030
1986,994
1987,909
1988,748
1989,954
1990,1100
1991,1520
1992,793
1993,804
1994,739
1995,1240
1996,1590
1997,1740
1998,1330
1999,1400
2000,1030
2001,473
2002,1420
2003,988
2004,872
2005,946
2006,1780
2007,1040
2008,1620
2009,1040
2010,1350
2011,1460
2012,1710
2013,1560
2014,1380
2015,1140
2016,1210
2017,1330
2018,1340
,
DISCLAIMER,
"NOTICE: This application and its data are provided AS-IS.  In no event shall Environment Canada be liable for any damages whatsoever (including, without limitation, damages for loss of business profits, business interruption, loss of business information, or other pecuniary loss) arising out of the use of, or inability to use this Environment Canada product, even if Environment Canada has been advised of the possibility of such damages.",
